Year,Team,player_id,Name,Date,Opponent,Result,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
2018,삼성,13064,아델만,03-25,@두산,L 4:5,1,6.2,5,5,5.00,29,23,7,0,0,1,3,0,1,3,109,1.50,0.304,0.393,0.828,6.75,1.20,-0.90,-0.219,40,L,7+일
2018,삼성,13064,아델만,03-31,넥센,L 4:2,1,6.0,2,2,2.00,25,22,5,4,0,1,3,0,0,6,101,1.42,0.267,0.358,0.847,4.97,0.96,1.76,0.059,57,,6일
2018,삼성,13064,아델만,04-08,@SK,W 12:4,1,7.0,2,2,2.00,29,26,6,1,0,0,3,0,0,2,104,1.37,0.254,0.341,0.749,4.12,0.56,2.39,-0.047,56,W,7+일
2018,삼성,13064,아델만,04-15,@한화,L 4:7,1,3.1,7,7,7.00,24,18,8,0,0,0,5,0,0,1,104,1.74,0.292,0.387,0.803,6.26,1.39,-5.67,-0.599,12,L,7일
2018,삼성,13064,아델만,04-21,KT,W 1:4,1,6.0,1,1,1.00,23,23,6,1,0,0,0,0,0,5,122,1.59,0.286,0.364,0.757,5.28,0.99,2.76,0.187,61,W,6일
2018,삼성,13064,아델만,04-27,@LG,L 2:9,1,5.0,6,6,6.00,26,23,10,1,1,1,2,0,0,6,112,1.71,0.311,0.381,0.825,6.09,0.64,-2.86,-0.372,27,L,6일
2018,삼성,13064,아델만,05-03,SK,W 4:8,1,7.0,4,4,4.00,26,26,5,1,0,1,0,0,0,9,99,1.54,0.292,0.354,0.783,5.93,0.69,0.39,0.050,60,W,6일
2018,삼성,13064,아델만,05-09,@KT,W 5:4,1,6.0,3,3,3.00,27,27,9,5,0,0,0,0,0,7,113,1.53,0.298,0.351,0.792,5.74,1.30,-0.24,-0.026,49,,6일
2018,삼성,13064,아델만,05-15,LG,W 2:4,1,5.0,0,0,0.00,23,20,5,1,0,0,3,0,0,4,121,1.54,0.293,0.351,0.779,5.19,1.14,2.14,0.285,58,,6일
2018,삼성,13064,아델만,05-20,@넥센,W 4:3,1,6.0,3,3,3.00,31,26,8,1,0,1,3,0,2,6,124,1.57,0.295,0.359,0.791,5.12,1.36,0.76,-0.062,47,,5일
2018,삼성,13064,아델만,05-26,@두산,L 1:6,1,2.2,5,2,4.65,17,15,7,2,0,0,1,0,0,0,61,1.63,0.305,0.366,0.808,5.19,0.99,-3.08,-0.284,29,L,6일
2018,삼성,13064,아델만,05-31,KT,W 0:6,1,7.0,0,0,0.00,26,24,5,1,0,0,0,0,1,7,92,1.54,0.297,0.355,0.780,4.66,1.13,4.39,0.362,74,W,5일
2018,삼성,13064,아델만,06-06,@SK,L 2:7,1,5.0,7,7,7.00,25,22,7,1,0,5,2,0,1,3,80,1.56,0.298,0.359,0.830,5.20,0.53,-3.86,-0.446,26,L,6일
2018,삼성,13064,아델만,06-12,@롯데,W 4:2,1,5.1,2,1,2.00,26,22,6,1,0,0,2,0,1,6,118,1.55,0.297,0.358,0.819,4.96,1.08,1.10,-0.014,54,W,6일
2018,삼성,13064,아델만,06-17,@넥센,L 8:12,1,2.0,7,7,7.00,14,11,6,2,0,1,3,0,0,1,58,1.63,0.305,0.369,0.848,5.63,1.08,-5.75,-0.365,14,L,5일
2018,삼성,13064,아델만,06-23,두산,L 11:4,1,6.0,2,2,2.00,26,22,8,1,0,0,3,0,0,1,96,1.64,0.309,0.373,0.847,5.44,1.29,1.76,0.073,46,,6일
2018,삼성,13064,아델만,06-29,넥센,L 8:7,1,4.1,7,6,7.00,24,21,7,1,0,0,1,0,1,2,78,1.65,0.310,0.373,0.842,5.78,1.25,-4.52,-0.519,24,L,6일
2018,삼성,13064,아델만,07-07,@두산,L 3:8,1,6.0,3,3,3.00,24,20,5,0,0,1,2,0,1,1,95,1.62,0.307,0.372,0.837,5.70,0.82,0.76,-0.066,49,,7+일
2018,삼성,13064,아델만,07-20,한화,L 1:0,1,7.0,1,1,1.00,26,24,5,0,0,1,1,0,1,7,101,1.57,0.301,0.366,0.824,5.40,1.15,3.39,0.228,69,L,7+일
2018,삼성,13064,아델만,07-25,@LG,W 1:0,1,7.0,0,0,0.00,25,25,4,1,0,0,0,0,0,6,105,1.50,0.293,0.356,0.799,5.06,1.11,4.39,0.494,75,W,5일
2018,삼성,13064,아델만,07-31,NC,D 4:4,1,7.0,1,1,1.00,27,27,7,1,0,0,0,0,0,9,104,1.47,0.291,0.351,0.786,4.83,1.25,3.39,0.349,68,,6일
2018,삼성,13064,아델만,08-05,@롯데,W 8:2,1,6.0,2,2,2.00,25,24,8,0,0,1,1,0,0,4,111,1.48,0.293,0.351,0.787,4.74,0.99,1.76,0.165,51,W,5일
2018,삼성,13064,아델만,08-11,NC,L 7:1,1,5.0,7,7,7.00,26,24,9,4,0,1,2,0,0,4,91,1.50,0.297,0.354,0.801,5.05,0.77,-3.86,-0.341,23,L,6일
2018,삼성,13064,아델만,08-16,한화,W 2:5,1,7.0,2,2,2.00,25,24,5,2,0,0,1,0,0,6,106,1.47,0.293,0.350,0.790,4.92,1.18,2.39,0.255,64,W,5일
2018,삼성,13064,아델만,09-06,두산,L 6:2,1,7.0,3,3,3.00,27,25,4,2,0,1,1,0,1,4,105,1.43,0.287,0.344,0.780,4.87,0.92,0.39,-0.038,60,L,7+일
2018,삼성,13064,아델만,09-11,한화,L 8:7,1,6.0,4,4,4.00,27,25,8,0,0,1,2,0,0,7,100,1.44,0.289,0.345,0.781,4.91,0.97,-0.24,0.019,45,,5일
2018,삼성,13064,아델만,09-16,@KT,L 2:4,1,5.1,3,3,2.65,24,21,8,0,0,0,2,0,0,3,101,1.46,0.292,0.348,0.782,4.92,1.44,0.17,-0.158,41,L,5일
2018,삼성,13064,아델만,09-22,롯데,L 5:2,1,6.0,1,1,1.00,23,21,4,2,0,0,1,0,1,8,110,1.43,0.288,0.345,0.774,4.79,1.05,2.76,0.231,67,,6일
2018,삼성,13064,아델만,09-28,KT,D 5:5,1,5.1,3,3,2.30,27,24,9,1,0,1,3,0,0,5,115,1.46,0.292,0.349,0.783,4.80,1.22,1.10,0.043,40,,6일
2018,삼성,13064,아델만,10-06,@KT,L 1:6,1,3.1,4,4,4.00,18,16,7,2,0,0,2,0,0,2,84,1.49,0.295,0.353,0.790,4.92,1.24,-2.67,-0.292,30,L,7+일
2018,삼성,13064,아델만,10-13,넥센,W 5:12,1,2.2,4,4,4.00,13,11,4,0,0,2,2,0,0,2,50,1.50,0.296,0.355,0.799,5.05,0.67,-2.41,-0.103,34,,7일
2018,삼성,13178,보니야,03-27,@KIA,L 0:17,1,3.1,9,9,8.50,21,17,7,2,0,3,4,0,0,5,88,3.30,0.412,0.524,1.583,24.30,0.63,-6.37,-0.275,11,L,7+일
2018,삼성,13178,보니야,04-03,@NC,L 3:4,1,6.0,2,2,2.00,22,22,5,1,1,0,0,0,0,4,88,1.71,0.308,0.372,1.039,10.61,0.76,1.76,0.025,58,,7일
2018,삼성,13178,보니야,04-10,두산,L 8:1,1,6.0,6,2,6.00,30,27,9,3,0,1,0,0,1,4,112,1.63,0.318,0.366,0.987,7.63,0.55,-2.24,-0.241,42,L,7일
2018,삼성,13178,보니야,04-17,@롯데,W 11:6,1,5.0,3,3,3.00,23,21,6,2,0,1,1,0,1,4,100,1.57,0.310,0.362,0.960,7.08,1.04,-0.86,0.108,46,W,7일
2018,삼성,13178,보니야,04-22,KT,L 6:4,1,6.2,3,2,3.00,28,28,8,4,0,0,0,0,0,9,122,1.48,0.304,0.344,0.901,6.00,0.97,1.10,-0.044,57,,5일
2018,삼성,13178,보니야,04-28,@LG,L 4:6,1,4.2,6,5,4.45,24,18,6,0,0,0,5,1,0,5,89,1.61,0.308,0.366,0.892,6.54,1.23,-0.83,-0.205,30,L,6일
2018,삼성,13178,보니야,05-04,한화,L 9:6,1,7.0,3,3,3.00,30,25,7,2,0,0,4,0,0,2,112,1.60,0.304,0.366,0.866,6.05,1.27,0.39,0.035,49,,6일
2018,삼성,13178,보니야,05-10,@KT,L 4:5,1,7.1,3,3,2.50,27,26,6,2,1,0,1,0,0,7,113,1.50,0.293,0.351,0.835,5.67,1.11,2.14,0.166,60,,6일
2018,삼성,13178,보니야,05-18,@넥센,W 5:0,1,6.1,0,0,0.00,25,22,3,0,0,0,3,0,0,7,111,1.43,0.277,0.339,0.786,4.99,1.17,2.99,0.243,71,W,7+일
2018,삼성,13178,보니야,05-24,롯데,W 2:9,1,7.1,1,1,1.00,28,27,6,0,0,1,1,0,0,8,98,1.37,0.270,0.329,0.762,4.53,0.87,3.67,0.211,69,W,6일
2018,삼성,13178,보니야,05-30,KT,W 3:4,1,5.0,3,3,3.00,23,20,6,4,0,0,2,0,1,3,109,1.39,0.273,0.335,0.774,4.59,1.12,0.14,-0.092,44,,6일
2018,삼성,13178,보니야,06-05,@SK,L 2:6,1,6.0,4,4,4.00,27,23,7,2,0,3,3,0,1,6,105,1.42,0.275,0.341,0.808,4.71,0.46,-0.24,-0.169,45,L,6일
2018,삼성,13178,보니야,06-10,LG,W 3:12,1,7.0,3,2,3.00,29,26,6,2,0,0,2,0,1,9,106,1.39,0.272,0.338,0.792,4.52,0.70,1.39,0.092,62,W,5일
2018,삼성,13178,보니야,06-16,@넥센,L 1:9,1,4.1,7,6,6.50,24,22,8,4,0,0,1,0,1,7,103,1.43,0.278,0.344,0.804,4.94,0.95,-3.74,-0.264,27,L,6일
2018,삼성,13178,보니야,06-22,두산,W 14:16,1,2.0,6,6,6.00,13,11,6,0,0,1,2,0,0,2,47,1.49,0.287,0.353,0.825,5.46,1.39,-2.75,-0.469,20,,6일
2018,삼성,13178,보니야,06-28,@한화,L 3:8,1,6.2,3,1,2.30,27,23,3,0,0,1,4,0,0,3,111,1.46,0.277,0.347,0.805,5.16,1.21,2.10,0.050,59,L,6일
2018,삼성,13178,보니야,07-05,@KT,D 2:2,1,7.0,2,2,2.00,28,25,6,0,0,1,1,0,0,5,107,1.42,0.274,0.341,0.793,4.98,1.17,2.39,0.178,61,,7일
2018,삼성,13178,보니야,07-11,롯데,W 2:4,1,6.2,2,2,2.00,28,26,9,0,0,1,2,0,0,7,105,1.44,0.279,0.344,0.796,4.83,1.27,0.93,0.129,53,W,6일
2018,삼성,13178,보니야,07-17,@KIA,L 3:6,1,5.1,2,2,2.00,23,22,7,0,0,1,1,0,0,3,100,1.44,0.281,0.345,0.797,4.76,1.10,0.36,-0.040,48,,6일
2018,삼성,13178,보니야,07-22,한화,W 4:5,1,6.0,4,3,4.00,28,23,6,1,0,0,3,0,2,3,92,1.44,0.280,0.347,0.792,4.75,0.86,-0.24,-0.170,46,,5일
2018,삼성,13178,보니야,07-28,KIA,W 2:3,1,7.0,2,2,2.00,29,25,5,0,0,1,2,0,2,8,115,1.42,0.276,0.345,0.783,4.62,1.25,2.39,0.259,65,W,6일
2018,삼성,13178,보니야,08-04,@롯데,L 4:5,1,5.2,3,3,3.00,25,21,5,2,0,1,3,0,0,3,115,1.42,0.274,0.344,0.784,4.63,1.22,0.38,-0.014,47,,7일
2018,삼성,13178,보니야,08-10,@LG,L 10:12,1,5.2,8,8,6.45,28,24,9,3,0,0,3,0,0,6,113,1.45,0.279,0.349,0.792,4.97,1.02,-2.20,-0.316,22,,6일
2018,삼성,13178,보니야,08-15,넥센,L 3:2,1,7.0,3,3,3.00,29,26,8,2,0,0,2,0,0,5,109,1.45,0.280,0.349,0.789,4.91,1.12,2.39,-0.005,52,L,5일
2018,삼성,13178,보니야,09-07,두산,L 7:2,1,6.2,5,4,5.00,31,29,10,1,0,2,1,0,0,8,107,1.46,0.283,0.350,0.797,4.94,1.13,-2.29,-0.283,43,L,7+일
2018,삼성,13178,보니야,09-13,LG,L 6:5,1,5.0,5,5,5.00,26,22,8,1,0,1,4,0,0,4,92,1.49,0.286,0.354,0.805,5.07,1.30,-1.86,-0.292,31,L,6일
2018,삼성,13178,보니야,09-18,KIA,L 18:3,1,4.0,8,8,7.30,22,20,7,1,0,2,2,0,0,3,71,1.51,0.288,0.356,0.815,5.40,0.89,-4.93,-0.434,17,L,5일
2018,삼성,13178,보니야,09-23,롯데,W 2:5,1,5.1,2,2,2.00,26,21,7,1,0,0,3,0,1,4,89,1.52,0.290,0.359,0.815,5.33,1.54,0.17,-0.067,47,,5일
2018,삼성,13178,보니야,09-29,SK,W 3:9,1,6.0,3,3,3.00,28,24,7,0,0,2,3,0,1,7,102,1.52,0.290,0.360,0.819,5.30,1.06,0.76,-0.035,50,W,6일
2018,삼성,10363,백정현,03-29,@KIA,L 0:7,1,4.1,4,4,4.00,22,18,9,0,0,1,2,0,1,4,100,2.54,0.500,0.571,1.238,8.31,0.97,-2.55,-0.167,31,L,7+일
2018,삼성,10363,백정현,04-05,@NC,W 4:1,1,6.1,1,1,1.00,26,25,5,0,0,1,1,0,0,6,102,1.59,0.326,0.383,0.848,4.22,0.96,2.73,0.150,64,,7일
2018,삼성,10363,백정현,04-12,두산,L 9:3,1,5.0,7,7,7.00,26,26,13,2,0,4,0,0,0,4,92,1.91,0.391,0.425,1.106,6.89,0.74,-4.30,-0.369,17,L,7일
2018,삼성,10363,백정현,04-24,NC,W 2:7,1,6.1,2,2,2.00,25,24,5,1,0,0,1,0,0,6,104,1.64,0.344,0.378,0.948,5.73,0.54,1.21,0.017,60,W,7+일
2018,삼성,10363,백정현,04-29,@LG,W 8:7,0,2.2,0,0,0.00,9,9,3,0,0,0,0,0,0,3,42,1.58,0.343,0.374,0.923,5.11,1.06,1.76,0.163,,,5일
2018,삼성,10363,백정현,05-08,@KT,W 9:4,0,3.0,1,1,1.00,11,10,2,1,0,0,1,0,0,3,43,1.52,0.330,0.364,0.891,4.88,0.17,1.88,0.022,,SV,7+일
2018,삼성,10363,백정현,05-17,LG,L 8:5,1,6.1,3,3,3.00,30,27,11,3,0,1,1,0,0,6,102,1.59,0.345,0.377,0.924,4.76,1.24,0.73,-0.129,44,L,7+일
2018,삼성,10363,백정현,05-25,@두산,W 6:1,1,8.0,0,0,0.00,28,27,4,0,0,0,1,0,0,5,109,1.40,0.313,0.345,0.827,3.86,0.89,5.02,0.440,78,W,7+일
2018,삼성,10363,백정현,06-01,@NC,W 5:3,1,7.2,1,1,1.00,28,28,5,3,0,0,0,0,0,4,93,1.29,0.294,0.322,0.776,3.44,0.67,2.56,0.281,69,W,7일
2018,삼성,10363,백정현,06-07,@SK,W 6:2,1,4.0,1,1,1.00,14,12,2,0,0,1,2,0,0,3,70,1.27,0.286,0.319,0.770,3.35,0.84,1.51,0.096,55,,6일
2018,삼성,10363,백정현,06-21,SK,L 5:1,1,6.0,4,3,4.00,24,23,7,3,0,0,1,0,0,5,97,1.27,0.288,0.321,0.771,3.47,0.78,-0.24,-0.193,48,L,7+일
2018,삼성,10363,백정현,06-27,@한화,L 0:4,1,6.0,2,2,2.00,24,22,5,1,0,0,2,0,0,2,93,1.26,0.283,0.318,0.752,3.43,0.80,1.76,0.011,54,L,6일
2018,삼성,10363,백정현,07-04,@KT,L 5:6,1,3.2,6,3,6.00,20,20,9,3,1,0,0,0,0,1,72,1.33,0.295,0.327,0.781,3.63,0.84,-3.95,-0.392,26,L,7일
