Year,Team,Rank,Name,Pos,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,url,player_id
2018,삼성,1,러프,18  1B,4.77,5.92,-1.15,137,597,597,506,97,167,32,4,33,306,125,5,3,65,18,0,107,17,0,8,0.330,0.419,0.605,1.024,0.060,144.7,/player/?m=playerinfo&p_no=12961,12961
2018,삼성,2,박해민,18  CF,3.44,2.60,0.84,144,649,641,576,114,172,30,10,9,249,68,36,10,56,3,0,99,9,8,6,0.299,0.360,0.432,0.792,-0.009,95.2,/player/?m=playerinfo&p_no=11190,11190
2018,삼성,3,구자욱,18  RF,3.31,4.03,-0.72,116,529,526,478,100,159,26,5,20,255,84,10,0,43,5,2,110,4,1,2,0.333,0.392,0.533,0.925,0.029,122.4,/player/?m=playerinfo&p_no=10892,10892
2018,삼성,4,이원석,18  3B,2.39,3.37,-0.98,128,543,542,479,74,144,30,1,20,236,93,2,1,52,7,1,103,10,0,5,0.301,0.374,0.493,0.867,0.017,113.9,/player/?m=playerinfo&p_no=10180,10180
2018,삼성,5,강민호,18  C,2.29,1.44,0.85,129,477,474,427,46,115,14,0,22,195,71,0,0,29,14,5,96,11,0,7,0.269,0.331,0.457,0.788,-0.018,88.8,/player/?m=playerinfo&p_no=10232,10232
2018,삼성,6,김헌곤,18  LF,0.74,2.64,-1.90,141,586,580,513,77,154,26,2,11,217,71,22,9,54,10,1,70,13,5,4,0.300,0.375,0.423,0.798,-0.001,100.9,/player/?m=playerinfo&p_no=10640,10640
2018,삼성,7,박한이,18  RF,0.46,1.25,-0.79,114,392,385,342,47,97,16,0,10,143,43,5,3,43,0,2,91,9,6,1,0.284,0.363,0.418,0.781,-0.016,90.3,/player/?m=playerinfo&p_no=10336,10336
2018,삼성,8,김상수,18  SS,0.00,-0.22,0.22,122,499,491,453,63,119,13,1,10,164,50,12,9,27,8,0,91,11,8,3,0.263,0.314,0.362,0.676,-0.053,64.4,/player/?m=playerinfo&p_no=10320,10320
2018,KIA,1,안치홍,18  2B,5.01,4.90,0.11,130,549,548,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,0.342,0.392,0.563,0.955,0.045,133.8,/player/?m=playerinfo&p_no=10014,10014
2018,KIA,2,최형우,18  LF,4.10,5.75,-1.65,143,609,604,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,0.339,0.414,0.549,0.963,0.053,138.9,/player/?m=playerinfo&p_no=10344,10344
2018,KIA,3,이명기,18  RF,2.83,1.77,1.07,120,502,489,447,88,135,28,6,4,187,42,12,5,40,3,3,64,5,11,1,0.302,0.363,0.418,0.781,-0.013,92.7,/player/?m=playerinfo&p_no=10119,10119
2018,KIA,4,나지완,18  DH,2.65,3.18,-0.52,114,379,378,317,50,86,18,0,26,182,78,0,0,38,19,2,81,14,0,5,0.271,0.377,0.574,0.951,0.040,130.1,/player/?m=playerinfo&p_no=10030,10030
2018,KIA,5,버나디나,18  CF,2.48,3.98,-1.50,131,590,584,513,106,159,25,3,20,250,70,32,13,63,10,3,103,9,3,1,0.310,0.395,0.487,0.882,0.026,120.4,/player/?m=playerinfo&p_no=12950,12950
2018,KIA,6,김민식,18  C,1.97,0.69,1.27,125,365,354,310,53,76,9,3,6,109,37,5,2,39,3,0,63,8,11,2,0.245,0.333,0.352,0.685,-0.031,80.1,/player/?m=playerinfo&p_no=10707,10707
2018,KIA,7,김주찬,18  1B,1.85,3.31,-1.45,121,471,466,429,71,146,23,0,18,223,93,8,1,23,7,5,57,15,2,10,0.340,0.375,0.520,0.895,0.025,119.1,/player/?m=playerinfo&p_no=10239,10239
2018,KIA,8,김선빈,18  SS,1.85,1.88,-0.03,127,492,486,424,73,125,17,2,4,158,49,4,1,48,9,1,42,10,6,5,0.295,0.374,0.373,0.747,-0.012,93.5,/player/?m=playerinfo&p_no=10008,10008
2018,KIA,9,이범호,18  3B,1.56,2.20,-0.64,101,380,378,332,41,93,7,0,20,160,69,1,0,42,4,4,59,12,0,2,0.280,0.366,0.482,0.848,0.013,110.8,/player/?m=playerinfo&p_no=10559,10559
2018,KIA,10,최원준,18  SS,0.18,0.28,-0.09,101,331,327,302,46,82,14,1,4,110,32,10,4,20,4,0,58,4,4,1,0.272,0.324,0.364,0.688,-0.042,72.3,/player/?m=playerinfo&p_no=12534,12534
2018,롯데,1,손아섭,18  RF,6.33,5.71,0.61,141,625,623,553,109,182,32,5,26,302,93,20,3,68,2,1,99,15,1,1,0.329,0.404,0.546,0.950,0.048,135.8,/player/?m=playerinfo&p_no=10261,10261
2018,롯데,2,전준우,18  LF,5.48,5.56,-0.08,144,614,612,556,118,190,36,2,33,329,90,7,7,48,7,1,82,12,1,2,0.342,0.400,0.592,0.992,0.051,137.9,/player/?m=playerinfo&p_no=10266,10266
2018,롯데,3,이대호,18  DH,4.27,5.69,-1.42,144,604,599,543,81,181,30,0,37,322,125,0,1,43,14,7,75,18,0,4,0.333,0.394,0.593,0.987,0.056,141.4,/player/?m=playerinfo&p_no=10251,10251
2018,롯데,4,민병헌,18  CF,4.16,3.19,0.97,118,494,489,443,74,141,21,0,17,213,66,8,3,35,8,3,68,10,2,6,0.318,0.374,0.481,0.855,0.020,116.0,/player/?m=playerinfo&p_no=10188,10188
2018,롯데,5,번즈,18  2B,2.79,2.11,0.67,133,505,503,462,80,124,34,5,23,237,64,5,2,33,9,2,133,8,1,0,0.268,0.329,0.513,0.842,-0.006,97.4,/player/?m=playerinfo&p_no=12956,12956
2018,롯데,6,신본기,18  SS,1.44,1.62,-0.19,139,479,472,425,55,125,28,1,11,188,71,1,5,33,11,2,95,12,5,5,0.294,0.357,0.442,0.799,-0.009,95.6,/player/?m=playerinfo&p_no=10840,10840
2018,롯데,7,문규현,18  SS,0.52,0.17,0.35,122,349,340,316,42,87,19,1,6,126,41,3,1,18,0,0,45,9,9,6,0.275,0.309,0.399,0.708,-0.047,69.5,/player/?m=playerinfo&p_no=10240,10240
2018,롯데,8,채태인,18  1B,0.14,1.22,-1.08,130,420,416,376,44,110,18,0,15,173,75,0,0,34,5,3,107,10,1,4,0.293,0.356,0.460,0.816,-0.016,90.9,/player/?m=playerinfo&p_no=10331,10331
2018,LG,1,김현수,18  LF,5.17,6.05,-0.88,117,511,508,453,95,164,39,2,20,267,101,1,3,47,1,6,61,9,0,10,0.362,0.415,0.589,1.004,0.083,160.7,/player/?m=playerinfo&p_no=10187,10187
2018,LG,2,오지환,18  SS,4.97,2.43,2.54,144,617,605,533,93,148,26,2,11,211,71,10,5,59,7,3,146,6,12,6,0.278,0.354,0.396,0.750,-0.009,95.2,/player/?m=playerinfo&p_no=10475,10475
2018,LG,3,유강남,18  C,4.15,3.12,1.03,132,465,462,425,53,126,33,0,19,216,66,0,0,28,9,1,80,21,2,1,0.296,0.352,0.508,0.860,0.026,120.2,/player/?m=playerinfo&p_no=10753,10753
2018,LG,4,이형종,18  LF,3.09,3.48,-0.39,118,485,480,437,83,138,27,0,13,204,42,6,4,31,12,0,82,6,5,0,0.316,0.377,0.467,0.844,0.028,121.4,/player/?m=playerinfo&p_no=12516,12516
2018,LG,5,채은성,18  RF,2.67,5.10,-2.43,139,578,577,529,78,175,36,2,25,290,119,3,1,35,9,1,97,12,0,5,0.331,0.379,0.548,0.927,0.045,134.1,/player/?m=playerinfo&p_no=11215,11215
2018,LG,6,박용택,18  DH,1.71,3.16,-1.45,134,583,583,524,89,159,38,1,15,244,76,3,3,47,5,0,107,21,0,7,0.303,0.362,0.466,0.828,0.010,109.0,/player/?m=playerinfo&p_no=10485,10485
2018,LG,7,이천웅,18  LF,1.60,2.26,-0.66,112,405,402,359,61,122,22,3,2,156,39,10,10,39,3,2,48,11,2,2,0.340,0.407,0.435,0.842,0.018,114.2,/player/?m=playerinfo&p_no=10935,10935
2018,LG,8,양석환,18  1B,1.47,1.72,-0.25,140,519,518,483,53,127,27,0,22,220,82,2,2,24,6,0,81,9,1,5,0.263,0.303,0.455,0.758,-0.012,93.2,/player/?m=playerinfo&p_no=11213,11213
2018,LG,9,정주현,18  2B,1.38,0.87,0.51,115,339,333,303,48,79,14,2,6,115,31,18,3,27,2,0,68,9,6,1,0.261,0.324,0.380,0.704,-0.027,83.0,/player/?m=playerinfo&p_no=10480,10480
2018,두산,1,양의지,18  C,7.93,6.30,1.63,133,503,497,439,84,157,29,1,23,257,77,6,0,45,13,6,40,13,0,6,0.358,0.427,0.585,1.012,0.086,162.3,/player/?m=playerinfo&p_no=10165,10165
2018,두산,2,최주환,18  2B,7.07,7.06,0.01,138,590,589,519,87,173,39,6,26,302,108,1,0,51,10,1,89,5,0,10,0.333,0.397,0.582,0.979,0.082,160.0,/player/?m=playerinfo&p_no=10182,10182
