Year,Team,Rank,Name,Pos,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,url,player_id
2018,삼성,1,아델만,18  P,4.34,31,31,0,0,0,0,8,12,0,0,171.0,96,101,99.60,758,202,39,1,20,54,11,0,137,5,1,7,5.05,5.32,5.24,5.05,4.91,1.50,/player/?m=playerinfo&p_no=13064,13064
2018,삼성,2,보니야,18  P,3.83,29,29,0,0,0,0,7,10,0,0,168.0,99,111,105.00,752,193,40,2,23,63,12,1,151,13,1,9,5.30,5.95,5.63,5.28,5.11,1.52,/player/?m=playerinfo&p_no=13178,13178
2018,삼성,3,백정현,18  P,3.50,25,23,2,1,0,0,7,7,1,0,125.2,64,68,68.00,540,142,27,2,18,36,3,0,99,4,0,2,4.58,4.87,4.87,4.66,5.04,1.42,/player/?m=playerinfo&p_no=10363,10363
2018,삼성,4,윤성환,18  P,1.01,24,24,0,0,0,0,5,9,0,0,117.1,91,99,96.25,542,164,30,0,28,32,9,0,89,2,0,2,6.98,7.59,7.38,6.94,6.37,1.67,/player/?m=playerinfo&p_no=10368,10368
2018,KIA,1,양현종,18  P,5.84,29,29,0,3,3,0,13,11,0,0,184.1,85,88,86.45,772,199,33,0,21,43,2,1,152,5,0,5,4.15,4.30,4.22,4.22,4.40,1.31,/player/?m=playerinfo&p_no=10058,10058
2018,KIA,2,헥터,18  P,3.58,29,29,0,1,1,0,11,10,0,0,174.0,89,102,102.00,753,209,31,0,25,36,4,2,137,11,1,4,4.60,5.28,5.28,5.36,4.78,1.41,/player/?m=playerinfo&p_no=12509,12509
2018,KIA,3,팻딘,18  P,1.53,36,21,15,3,0,0,6,7,0,2,129.1,90,96,91.40,588,174,29,1,23,27,4,2,101,5,0,3,6.26,6.68,6.36,6.55,5.21,1.55,/player/?m=playerinfo&p_no=12949,12949
2018,KIA,4,임기영,18  P,1.21,29,19,10,0,0,0,8,9,0,2,105.0,73,79,75.40,491,145,24,0,20,34,12,2,68,3,0,2,6.26,6.77,6.46,6.41,6.29,1.70,/player/?m=playerinfo&p_no=10909,10909
2018,롯데,1,레일리,18  P,3.96,30,30,0,0,0,0,11,13,0,0,178.1,94,106,103.75,775,180,34,4,24,54,18,1,178,8,2,4,4.74,5.35,5.24,5.05,4.69,1.31,/player/?m=playerinfo&p_no=11392,11392
2018,롯데,2,노경은,18  P,3.95,33,19,14,5,0,0,9,6,0,0,132.1,60,65,64.65,547,127,24,3,18,30,4,1,89,5,0,1,4.08,4.42,4.40,4.17,5.06,1.19,/player/?m=playerinfo&p_no=10203,10203
